Course,Mod/Act,Date,Start,End,Pod,Pod Capacity,Show Length
Bio 181,M1 A1,2026-01-20,09:00,09:30,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-21,09:00,09:30,CRTVC 4,24,30
Bio 100,M1 A1,2026-01-21,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A1-POLY,2026-01-21,09:00,09:20,POLY,25,20
POLY Bio 182,M5 A1-POLY,2026-01-21,09:30,09:50,POLY,25,20
Bio 181,M1 A1,2026-01-21,12:50,13:20,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-22,09:00,09:30,CRTVC 3,24,30
Bio 100,M1 A1,2026-01-22,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A1-POLY,2026-01-22,09:00,09:20,POLY,25,20
POLY Bio 182,M5 A1-POLY,2026-01-22,09:30,09:50,POLY,25,20
Bio 181,M1 A1,2026-01-22,11:40,12:10,CRTVC 5,28,30
Bio 100,M1 A1,2026-01-22,12:50,13:20,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-22,14:10,14:40,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-23,09:00,09:30,CRTVC 4,24,30
Bio 100,M1 A1,2026-01-23,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A1-POLY,2026-01-23,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A1,2026-01-23,09:20,09:40,CRTVC 5,28,20
POLY Bio 182,M5 A1-POLY,2026-01-23,09:30,09:50,POLY,25,20
Bio 181,M1 A1,2026-01-23,10:20,10:50,CRTVC 6,28,30
Bio 100,M1 A1,2026-01-23,10:50,11:20,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-23,11:30,12:00,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-26,09:00,09:30,CRTVC 3,24,30
Bio 100,M1 A1,2026-01-26,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A1-POLY,2026-01-26,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A1,2026-01-26,09:20,09:40,CRTVC 6,28,20
POLY Bio 182,M5 A1-POLY,2026-01-26,09:30,09:50,POLY,25,20
Bio 181,M1 A1,2026-01-26,11:00,11:30,CRTVC 6,28,30
Bio 100,M1 A1,2026-01-26,11:40,12:10,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-26,12:50,13:20,CRTVC 5,28,30
Bio 100,M1 A1,2026-01-26,14:10,14:40,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-26,14:50,15:20,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-27,09:00,09:30,CRTVC 4,24,30
Bio 100,M1 A1,2026-01-27,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A1-POLY,2026-01-27,09:00,09:20,POLY,25,20
Bio 100,M1 A2,2026-01-27,09:10,09:40,CRTVC 3,24,30
Chem 113,CHM M1 A1,2026-01-27,09:20,09:40,CRTVC 5,28,20
POLY Bio 181,M1 A1-POLY,2026-01-27,09:30,09:50,POLY,25,20
Bio 181,M1 A2,2026-01-27,09:40,10:10,CRTVC 6,28,30
POLY Bio 182,M5 A1-POLY,2026-01-27,10:00,10:20,POLY,25,20
Bio 181,M1 A1,2026-01-27,10:40,11:10,CRTVC 6,28,30
Bio 100,M1 A1,2026-01-27,11:40,12:10,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-27,12:10,12:40,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-27,13:40,14:10,CRTVC 5,28,30
Bio 100,M1 A1,2026-01-27,14:10,14:40,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-27,15:10,15:40,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-28,09:00,09:30,CRTVC 3,24,30
Bio 100,M1 A1,2026-01-28,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A1-POLY,2026-01-28,09:00,09:20,POLY,25,20
Bio 100,M1 A2,2026-01-28,09:10,09:40,CRTVC 4,24,30
Chem 113,CHM M1 A1,2026-01-28,09:20,09:40,CRTVC 6,28,20
POLY Bio 181,M1 A1-POLY,2026-01-28,09:30,09:50,POLY,25,20
Bio 182,M4 A1,2026-01-28,09:40,10:10,CRTVC 3,24,30
Bio 181,M1 A2,2026-01-28,09:40,10:10,CRTVC 5,28,30
POLY Bio 182,M5 A1-POLY,2026-01-28,10:00,10:20,POLY,25,20
Bio 181,M1 A1,2026-01-28,10:20,10:50,CRTVC 5,28,30
POLY 100,M1 A2-POLY,2026-01-28,10:30,10:50,POLY,25,20
POLY Bio 182,M5 A2-POLY,2026-01-28,11:00,11:20,POLY,25,20
Bio 181,M1 A1,2026-01-28,11:40,12:10,CRTVC 4,24,30
Bio 100,M1 A1,2026-01-28,11:40,12:10,CRTVC 6,28,30
Bio 182,M4 A1,2026-01-28,11:50,12:20,CRTVC 5,28,30
Bio 181,M1 A2,2026-01-28,12:50,13:20,CRTVC 3,24,30
Bio 181,M1 A1,2026-01-28,12:50,13:20,CRTVC 6,28,30
Bio 181,M1 A1,2026-01-28,14:10,14:40,CRTVC 3,24,30
Bio 100,M1 A1,2026-01-28,14:10,14:40,CRTVC 5,28,30
Bio 181,M1 A1,2026-01-28,15:30,16:00,CRTVC 5,28,30
Bio 100,M1 A2,2026-01-29,09:00,09:30,CRTVC 3,24,30
Chem 113,CHM M1 A1,2026-01-29,09:00,09:20,CRTVC 6,28,20
POLY 100,M1 A1-POLY,2026-01-29,09:00,09:20,POLY,25,20
Bio 182,M4 A1,2026-01-29,09:10,09:40,CRTVC 4,24,30
Bio 181,M1 A2,2026-01-29,09:10,09:40,CRTVC 5,28,30
POLY Bio 181,M1 A1-POLY,2026-01-29,09:30,09:50,POLY,25,20
POLY Bio 182,M5 A1-POLY,2026-01-29,10:00,10:20,POLY,25,20
POLY 100,M1 A2-POLY,2026-01-29,10:30,10:50,POLY,25,20
Bio 182,M4 A1,2026-01-29,11:00,11:30,CRTVC 5,28,30
POLY Bio 182,M5 A2-POLY,2026-01-29,11:00,11:20,POLY,25,20
Bio 181,M1 A2,2026-01-29,11:40,12:10,CRTVC 5,28,30
Bio 182,M4 A1,2026-01-29,12:50,13:20,CRTVC 3,24,30
Bio 100,M1 A2,2026-01-29,12:50,13:20,CRTVC 6,28,30
POLY Bio 182,M5 A1-POLY,2026-01-29,13:00,13:20,POLY,25,20
Bio 181,M1 A2,2026-01-29,14:10,14:40,CRTVC 6,28,30
Bio 182,M4 A1,2026-01-29,14:50,15:20,CRTVC 6,28,30
Bio 100,M1 A2,2026-01-30,09:00,09:30,CRTVC 4,24,30
Chem 113,CHM M1 A1,2026-01-30,09:00,09:20,CRTVC 5,28,20
POLY 100,M1 A1-POLY,2026-01-30,09:00,09:20,POLY,25,20
Bio 182,M4 A1,2026-01-30,09:10,09:40,CRTVC 3,24,30
Bio 181,M1 A2,2026-01-30,09:10,09:40,CRTVC 6,28,30
POLY Bio 181,M1 A1-POLY,2026-01-30,09:30,09:50,POLY,25,20
Bio 182,M4 A1,2026-01-30,09:50,10:20,CRTVC 5,28,30
POLY Bio 182,M5 A1-POLY,2026-01-30,10:00,10:20,POLY,25,20
Bio 181,M1 A2,2026-01-30,10:20,10:50,CRTVC 6,28,30
Bio 182,M4 A1,2026-01-30,10:30,11:00,CRTVC 4,24,30
POLY 100,M1 A2-POLY,2026-01-30,10:30,10:50,POLY,25,20
Bio 100,M1 A2,2026-01-30,10:50,11:20,CRTVC 5,28,30
POLY 100,M1 A1-POLY,2026-01-30,11:00,11:20,POLY,25,20
Bio 182,M4 A1,2026-01-30,11:20,11:50,CRTVC 6,28,30
Bio 181,M1 A2,2026-01-30,11:30,12:00,CRTVC 5,28,30
POLY Bio 182,M5 A1-POLY,2026-01-30,11:30,11:50,POLY,25,20
Bio 182,M4 A1,2026-01-30,12:00,12:30,CRTVC 6,28,30
POLY Bio 182,M5 A2-POLY,2026-01-30,12:00,12:20,POLY,25,20
Bio 100,M1 A2,2026-02-02,09:00,09:30,CRTVC 3,24,30
Chem 113,CHM M1 A1,2026-02-02,09:00,09:20,CRTVC 5,28,20
POLY 100,M1 A2-POLY,2026-02-02,09:00,09:20,POLY,25,20
Bio 182,M4 A1,2026-02-02,09:10,09:40,CRTVC 4,24,30
Bio 181,M1 A2,2026-02-02,09:10,09:40,CRTVC 6,28,30
POLY Bio 182,M5 A2-POLY,2026-02-02,09:30,09:50,POLY,25,20
Bio 182,M4 A1,2026-02-02,10:20,10:50,CRTVC 6,28,30
Bio 181,M1 A2,2026-02-02,11:00,11:30,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-02,11:40,12:10,CRTVC 3,24,30
Bio 100,M1 A2,2026-02-02,11:40,12:10,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-02,12:50,13:20,CRTVC 4,24,30
Bio 182,M4 A1,2026-02-02,13:00,13:30,CRTVC 3,24,30
Chem 113,CHM M1 A1,2026-02-02,13:00,13:20,CRTVC 6,28,20
Bio 182,M4 A1,2026-02-02,14:10,14:40,CRTVC 4,24,30
Bio 100,M1 A2,2026-02-02,14:10,14:40,CRTVC 6,28,30
Bio 181,M1 A2,2026-02-02,14:50,15:20,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-02,15:30,16:00,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-03,09:00,09:30,CRTVC 3,24,30
Bio 100,M1 A2,2026-02-03,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A2-POLY,2026-02-03,09:00,09:20,POLY,25,20
Bio 100,M1 A3,2026-02-03,09:10,09:40,CRTVC 4,24,30
Bio 182,M4 A1,2026-02-03,09:10,09:40,CRTVC 5,28,30
POLY Bio 181,M1 A2-POLY,2026-02-03,09:30,09:50,POLY,25,20
Bio 181,M1 A3,2026-02-03,09:40,10:10,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-03,10:00,10:30,CRTVC 5,28,30
POLY Bio 182,M5 A2-POLY,2026-02-03,10:00,10:20,POLY,25,20
Bio 181,M1 A2,2026-02-03,10:40,11:10,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-03,11:00,11:30,CRTVC 5,28,30
Bio 100,M1 A2,2026-02-03,11:40,12:10,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-03,12:00,12:30,CRTVC 4,24,30
Bio 181,M1 A2,2026-02-03,12:10,12:40,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-03,12:50,13:20,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-03,13:40,14:10,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-03,13:50,14:20,CRTVC 3,24,30
Bio 100,M1 A2,2026-02-03,14:10,14:40,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-03,14:50,15:20,CRTVC 6,28,30
Bio 181,M1 A2,2026-02-03,15:10,15:40,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-03,15:50,16:20,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-04,09:00,09:30,CRTVC 4,24,30
Bio 100,M1 A2,2026-02-04,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A2-POLY,2026-02-04,09:00,09:20,POLY,25,20
Bio 100,M1 A3,2026-02-04,09:10,09:40,CRTVC 3,24,30
Bio 182,M4 A1,2026-02-04,09:10,09:40,CRTVC 6,28,30
POLY Bio 181,M1 A2-POLY,2026-02-04,09:30,09:50,POLY,25,20
Bio 182,M4 A2,2026-02-04,09:40,10:10,CRTVC 4,24,30
Chem 114,CHM M1 A1,2026-02-04,09:40,10:00,CRTVC 5,28,20
Bio 181,M1 A3,2026-02-04,09:50,10:20,CRTVC 3,24,30
Bio 182,M4 A1,2026-02-04,10:00,10:30,CRTVC 6,28,30
POLY Bio 182,M5 A2-POLY,2026-02-04,10:00,10:20,POLY,25,20
Bio 181,M1 A2,2026-02-04,10:20,10:50,CRTVC 5,28,30
POLY 100,M1 A3-POLY,2026-02-04,10:30,10:50,POLY,25,20
Bio 182,M4 A1,2026-02-04,10:50,11:20,CRTVC 6,28,30
POLY Bio 182,M5 A3-POLY,2026-02-04,11:00,11:20,POLY,25,20
Bio 181,M1 A2,2026-02-04,11:40,12:10,CRTVC 3,24,30
Bio 100,M1 A2,2026-02-04,11:40,12:10,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-04,11:50,12:20,CRTVC 4,24,30
Bio 182,M4 A1,2026-02-04,11:50,12:20,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-04,12:30,13:00,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-04,12:50,13:20,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-04,13:20,13:50,CRTVC 5,28,30
Bio 181,M1 A2,2026-02-04,14:10,14:40,CRTVC 4,24,30
Bio 100,M1 A2,2026-02-04,14:10,14:40,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-04,14:20,14:50,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-04,15:00,15:30,CRTVC 6,28,30
Bio 181,M1 A2,2026-02-04,15:30,16:00,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-04,15:50,16:20,CRTVC 6,28,30
Bio 100,M1 A3,2026-02-05,09:00,09:30,CRTVC 4,24,30
Bio 182,M4 A1,2026-02-05,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A2-POLY,2026-02-05,09:00,09:20,POLY,25,20
Bio 182,M4 A2,2026-02-05,09:10,09:40,CRTVC 3,24,30
Chem 114,CHM M1 A1,2026-02-05,09:20,09:40,CRTVC 6,28,20
POLY Bio 181,M1 A2-POLY,2026-02-05,09:30,09:50,POLY,25,20
Bio 181,M1 A3,2026-02-05,09:40,10:10,CRTVC 4,24,30
Chem 113,CHM M1 A2,2026-02-05,09:40,10:00,CRTVC 5,28,20
Bio 182,M4 A1,2026-02-05,09:50,10:20,CRTVC 6,28,30
POLY Bio 182,M5 A2-POLY,2026-02-05,10:00,10:20,POLY,25,20
POLY 100,M1 A3-POLY,2026-02-05,10:30,10:50,POLY,25,20
Bio 182,M4 A1,2026-02-05,10:40,11:10,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-05,11:00,11:30,CRTVC 4,24,30
POLY Bio 182,M5 A3-POLY,2026-02-05,11:00,11:20,POLY,25,20
Bio 182,M4 A1,2026-02-05,11:20,11:50,CRTVC 6,28,30
Bio 182,M4 A1,2026-02-05,12:10,12:40,CRTVC 5,28,30
Bio 100,M1 A3,2026-02-05,12:50,13:20,CRTVC 4,24,30
Bio 182,M4 A1,2026-02-05,12:50,13:20,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-05,13:00,13:30,CRTVC 5,28,30
POLY Bio 182,M5 A2-POLY,2026-02-05,13:00,13:20,POLY,25,20
Bio 182,M4 A1,2026-02-05,13:40,14:10,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-05,14:30,15:00,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-05,14:50,15:20,CRTVC 3,24,30
Bio 182,M4 A1,2026-02-05,15:10,15:40,CRTVC 5,28,30
Bio 182,M4 A1,2026-02-05,16:00,16:30,CRTVC 6,28,30
Chem 114,CHM M1 A1,2026-02-06,09:00,09:20,CRTVC 4,24,20
Bio 100,M1 A3,2026-02-06,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A2-POLY,2026-02-06,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A2,2026-02-06,09:10,09:30,CRTVC 3,24,20
Bio 182,M4 A2,2026-02-06,09:10,09:40,CRTVC 6,28,30
Bio 181,M1 A3,2026-02-06,09:30,10:00,CRTVC 4,24,30
POLY Bio 181,M1 A2-POLY,2026-02-06,09:30,09:50,POLY,25,20
Bio 182,M4 A2,2026-02-06,09:50,10:20,CRTVC 5,28,30
POLY Bio 182,M5 A2-POLY,2026-02-06,10:00,10:20,POLY,25,20
Bio 182,M4 A2,2026-02-06,10:30,11:00,CRTVC 5,28,30
POLY 100,M1 A3-POLY,2026-02-06,10:30,10:50,POLY,25,20
Bio 100,M1 A3,2026-02-06,10:50,11:20,CRTVC 6,28,30
POLY 100,M1 A2-POLY,2026-02-06,11:00,11:20,POLY,25,20
Bio 182,M4 A2,2026-02-06,11:20,11:50,CRTVC 5,28,30
POLY Bio 182,M5 A2-POLY,2026-02-06,11:30,11:50,POLY,25,20
Bio 182,M4 A2,2026-02-06,12:00,12:30,CRTVC 6,28,30
POLY Bio 182,M5 A3-POLY,2026-02-06,12:00,12:20,POLY,25,20
Chem 114,CHM M1 A1,2026-02-09,09:00,09:20,CRTVC 3,24,20
Bio 100,M1 A3,2026-02-09,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A3-POLY,2026-02-09,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A2,2026-02-09,09:10,09:30,CRTVC 4,24,20
Bio 182,M4 A2,2026-02-09,09:10,09:40,CRTVC 5,28,30
Bio 181,M1 A3,2026-02-09,09:30,10:00,CRTVC 3,24,30
POLY Bio 182,M5 A3-POLY,2026-02-09,09:30,09:50,POLY,25,20
Bio 182,M4 A2,2026-02-09,10:20,10:50,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-09,11:40,12:10,CRTVC 4,24,30
Bio 100,M1 A3,2026-02-09,11:40,12:10,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-09,12:50,13:20,CRTVC 3,24,30
Bio 181,M1 A3,2026-02-09,13:00,13:30,CRTVC 4,24,30
Chem 114,CHM M1 A1,2026-02-09,13:00,13:20,CRTVC 5,28,20
Bio 182,M4 A2,2026-02-09,14:10,14:40,CRTVC 4,24,30
Bio 100,M1 A3,2026-02-09,14:10,14:40,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-09,15:30,16:00,CRTVC 6,28,30
Chem 114,CHM M1 A1,2026-02-10,09:00,09:20,CRTVC 4,24,20
Bio 100,M1 A3,2026-02-10,09:00,09:30,CRTVC 5,28,30
POLY 100,M1 A3-POLY,2026-02-10,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A2,2026-02-10,09:10,09:30,CRTVC 3,24,20
Bio 182,M4 A2,2026-02-10,09:10,09:40,CRTVC 6,28,30
Bio 181,M1 A3,2026-02-10,09:30,10:00,CRTVC 4,24,30
POLY Bio 181,M1 A3-POLY,2026-02-10,09:30,09:50,POLY,25,20
Bio 100,M4 A1,2026-02-10,09:40,10:10,CRTVC 3,24,30
Bio 182,M4 A2,2026-02-10,10:00,10:30,CRTVC 5,28,30
POLY Bio 182,M5 A3-POLY,2026-02-10,10:00,10:20,POLY,25,20
Bio 182,M4 A2,2026-02-10,11:00,11:30,CRTVC 5,28,30
Bio 100,M1 A3,2026-02-10,11:40,12:10,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-10,12:00,12:30,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-10,12:50,13:20,CRTVC 3,24,30
Bio 181,M1 A3,2026-02-10,13:00,13:30,CRTVC 4,24,30
Chem 114,CHM M1 A1,2026-02-10,13:00,13:20,CRTVC 6,28,20
Bio 182,M4 A2,2026-02-10,13:50,14:20,CRTVC 6,28,30
Bio 100,M1 A3,2026-02-10,14:10,14:40,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-10,14:50,15:20,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-10,15:50,16:20,CRTVC 5,28,30
Chem 114,CHM M1 A1,2026-02-11,09:00,09:20,CRTVC 3,24,20
Bio 100,M1 A3,2026-02-11,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A3-POLY,2026-02-11,09:00,09:20,POLY,25,20
Chem 113,CHM M1 A2,2026-02-11,09:10,09:30,CRTVC 4,24,20
Bio 182,M4 A2,2026-02-11,09:10,09:40,CRTVC 5,28,30
Bio 181,M1 A3,2026-02-11,09:30,10:00,CRTVC 3,24,30
POLY Bio 181,M1 A3-POLY,2026-02-11,09:30,09:50,POLY,25,20
Bio 100,M4 A1,2026-02-11,09:40,10:10,CRTVC 4,24,30
Chem 101,101 CHM M1 A1,2026-02-11,09:50,10:10,CRTVC 5,28,20
Bio 182,M4 A2,2026-02-11,10:00,10:30,CRTVC 6,28,30
POLY Bio 182,M5 A3-POLY,2026-02-11,10:00,10:20,POLY,25,20
Bio 182,M4 A3,2026-02-11,10:10,10:40,CRTVC 3,24,30
Bio 182,M4 A2,2026-02-11,10:50,11:20,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-11,11:40,12:10,CRTVC 3,24,30
Bio 100,M1 A3,2026-02-11,11:40,12:10,CRTVC 5,28,30
Bio 182,M4 A3,2026-02-11,11:50,12:20,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-11,12:30,13:00,CRTVC 6,28,30
Bio 181,M1 A3,2026-02-11,12:50,13:20,CRTVC 4,24,30
Chem 114,CHM M1 A1,2026-02-11,13:00,13:20,CRTVC 5,28,20
Bio 182,M4 A2,2026-02-11,13:20,13:50,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-11,14:10,14:40,CRTVC 4,24,30
Bio 100,M1 A3,2026-02-11,14:10,14:40,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-11,15:00,15:30,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-11,15:50,16:20,CRTVC 5,28,30
Chem 113,CHM M1 A2,2026-02-12,09:00,09:20,CRTVC 3,24,20
Bio 182,M4 A2,2026-02-12,09:00,09:30,CRTVC 6,28,30
POLY 100,M1 A3-POLY,2026-02-12,09:00,09:20,POLY,25,20
Bio 100,M4 A1,2026-02-12,09:10,09:40,CRTVC 4,24,30
Bio 181,M1 A3,2026-02-12,09:10,09:40,CRTVC 5,28,30
Chem 101,101 CHM M1 A1,2026-02-12,09:30,09:50,CRTVC 3,24,20
POLY Bio 181,M1 A3-POLY,2026-02-12,09:30,09:50,POLY,25,20
Chem 114,CHM M1 A2,2026-02-12,09:40,10:00,CRTVC 6,28,20
Bio 182,M4 A3,2026-02-12,09:50,10:20,CRTVC 4,24,30
Bio 182,M4 A2,2026-02-12,09:50,10:20,CRTVC 5,28,30
POLY Bio 182,M5 A3-POLY,2026-02-12,10:00,10:20,POLY,25,20
Chem 113,CHM M1 A3,2026-02-12,10:10,10:30,CRTVC 6,28,20
Bio 182,M4 A2,2026-02-12,10:40,11:10,CRTVC 6,28,30
Bio 182,M4 A3,2026-02-12,11:00,11:30,CRTVC 3,24,30
Bio 182,M4 A2,2026-02-12,11:20,11:50,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-12,12:10,12:40,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-12,12:50,13:20,CRTVC 5,28,30
Chem 113,CHM M1 A2,2026-02-12,13:00,13:20,CRTVC 3,24,20
Bio 181,M1 A3,2026-02-12,13:00,13:30,CRTVC 6,28,30
POLY Bio 182,M5 A3-POLY,2026-02-12,13:00,13:20,POLY,25,20
Bio 100,M4 A1,2026-02-12,13:10,13:40,CRTVC 4,24,30
Bio 182,M4 A3,2026-02-12,13:30,14:00,CRTVC 5,28,30
Bio 182,M4 A2,2026-02-12,13:40,14:10,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-12,14:30,15:00,CRTVC 5,28,30
Bio 182,M4 A3,2026-02-12,14:50,15:20,CRTVC 3,24,30
Bio 182,M4 A2,2026-02-12,15:10,15:40,CRTVC 6,28,30
Bio 182,M4 A2,2026-02-12,16:00,16:30,CRTVC 5,28,30
Bio 181,M1 A3,2026-02-13,09:00,09:30,CRTVC 4,24,30
Chem 113,CHM M1 A2,2026-02-13,09:00,09:20,CRTVC 6,28,20
POLY 100,M1 A3-POLY,2026-02-13,09:00,09:20,POLY,25,20
Bio 100,M4 A1,2026-02-13,09:10,09:40,CRTVC 5,28,30
Chem 101,101 CHM M1 A1,2026-02-13,09:20,09:40,CRTVC 3,24,20
Chem 114,CHM M1 A2,2026-02-13,09:30,09:50,CRTVC 6,28,20
POLY Bio 181,M1 A3-POLY,2026-02-13,09:30,09:50,POLY,25,20
Bio 182,M4 A3,2026-02-13,09:40,10:10,CRTVC 4,24,30
Bio 182,M4 A3,2026-02-13,09:50,10:20,CRTVC 5,28,30
Chem 113,CHM M1 A3,2026-02-13,10:00,10:20,CRTVC 3,24,20
POLY Bio 182,M5 A3-POLY,2026-02-13,10:00,10:20,POLY,25,20
Bio 181,M1 A3,2026-02-13,10:20,10:50,CRTVC 6,28,30
Bio 182,M4 A3,2026-02-13,10:30,11:00,CRTVC 5,28,30
Bio 100,M4 A1,2026-02-13,10:50,11:20,CRTVC 3,24,30
Chem 113,CHM M1 A2,2026-02-13,11:00,11:20,CRTVC 6,28,20
POLY 100,M1 A3-POLY,2026-02-13,11:00,11:20,POLY,25,20
Bio 182,M4 A3,2026-02-13,11:20,11:50,CRTVC 4,24,30
Bio 181,M1 A3,2026-02-13,11:30,12:00,CRTVC 5,28,30
POLY Bio 182,M5 A3-POLY,2026-02-13,11:30,11:50,POLY,25,20
Bio 182,M4 A3,2026-02-13,12:00,12:30,CRTVC 6,28,30
Bio 100,M4 A1,2026-02-16,09:00,09:30,CRTVC 4,24,30
Bio 181,M1 A3,2026-02-16,09:00,09:30,CRTVC 5,28,30
Chem 114,CHM M1 A2,2026-02-16,09:20,09:40,CRTVC 3,24,20
Chem 101,101 CHM M1 A1,2026-02-16,09:20,09:40,CRTVC 6,28,20
Chem 113,CHM M1 A3,2026-02-16,09:40,10:00,CRTVC 4,24,20
Bio 182,M4 A3,2026-02-16,09:40,10:10,CRTVC 5,28,30
Bio 181,M2 A1,2026-02-16,09:50,10:20,CRTVC 3,24,30
Bio 182,M4 A3,2026-02-16,10:20,10:50,CRTVC 6,28,30
Bio 100,M4 A1,2026-02-16,11:40,12:10,CRTVC 3,24,30
